id,product_name,price(vnd),original_price,discount,discount_rate(%),review_count,rating_average,quantity_sold,brand_name,origin,subcategory_name,category_name
275627388,Điện Thoại Oppo A79 5G 8GB/256GB - Hàng Chính Hãng,6369000,7490000,1121000,15,0,0.0,0.0,,,dien-thoai-smartphone,Điện thoại
275629952,Máy đọc sách Kindle Scribe kèm bút Kèm bút Premium - Hàng chính hãng,10490000,12990000,2500000,19,0,0.0,3.0,Kindle,Mỹ,may-doc-sach,Máy tính bảng
275695395,Điện thoại Samsung Galaxy Z Flip6 (12GB/256GB) - Hàng chính hãng,21790000,28990000,7200000,25,0,0.0,0.0,,,dien-thoai-smartphone,Điện thoại
275716541,Điện thoại Realme C61 (4GB/128GB) - Hàng Chính Hãng,2790000,3590000,800000,22,1,5.0,24.0,Realme,Trung Quốc,dien-thoai-smartphone,Điện thoại
275721976,Laptop HP Pavilion 14-dv2076TU 7C0P4PA (Core i5-1235U | 8GB | 256GB | Iris Xᵉ Graphics | 14 inch FHD | Windows 11 | Warm Gold) - Hàng Chính Hãng - Bảo Hành 12 Tháng,14299000,18990000,4691000,25,0,0.0,0.0,,,laptop-truyen-thong,Laptop
275721993,Laptop HP 15-fd0235TU 9Q970PA (Intel Core i5-1334U | 16GB | 512GB | Iris Xe Graphics | 15.6 inch FHD | Windows 11 | Natural silver) - Hàng Chính Hãng - Bảo Hành 12 Tháng,16159000,19990000,3831000,19,0,0.0,0.0,,,laptop-truyen-thong,Laptop
275737321,Laptop Dell Inspiron 3530 P16WD (i7 1355U/ 16GB/ 1TB SSD/ 15.6 inch FHD/ Win 11/ Office/ Silver/ 1Y) - Hàng Chính Hãng,21190000,26990000,5800000,21,0,0.0,0.0,,,laptop-truyen-thong,Laptop
275737346,Laptop Dell Inspiron 5440 7FN5J (Core 7 150U/ 16GB/ 1TB SSD/ 14 inch FHD+/ Win 11/ Office/ Vỏ nhôm/ 1Y) - Hàng Chính Hãng - Bảo Hành 12 Tháng,24890000,31900000,7010000,22,0,0.0,0.0,,,laptop-truyen-thong,Laptop
275737380,Laptop Dell Inspiron 5440 N4I5211W1 (Core 5 120U/ 16GB/ 512GB SSD/ 14 inch FHD+/ Win 11/ Office/ Vỏ nhôm/ 1Y) - Hàng Chính Hãng - Bảo Hành 12 Tháng,21890000,28990000,7100000,24,0,0.0,0.0,,,laptop-truyen-thong,Laptop
275738325,Laptop Dell Inspiron 5440 NDY5V1 (i5 1334U/ 16GB/ 512GB SSD/ 14 inch FHD+/ Win 11/ Office/1Y) - Hàng Chính Hãng - Bảo Hành 12 Tháng,19890000,25990000,6100000,23,0,0.0,0.0,,,laptop-truyen-thong,Laptop
275746434,Laptop Gaming Acer Aspire 7 A715-76G-5806 NH.QMFSV.002 - HÀNG CHÍNH HÃNG,19875000,19875000,0,0,0,0.0,0.0,,,laptop-gaming,Laptop
275746495,"Laptop Gaming Acer Aspire 7 A715 76G 59MW - NH.QMYSV.001 Core i5-12450H | RTX 2050 | 15.6 inch FHD, IPS, 144Hz | 8GB | 512GB SSD, Win 11 | Vỏ Nhôm - HÀNG CHÍNH HÃNG",16090000,16090000,0,0,0,0.0,0.0,,,laptop-gaming,Laptop
275746497,Điện thoại Realme Note 50 (3GB/64GB) - Hàng chính hãng,2359000,2490000,131000,5,0,0.0,0.0,,,dien-thoai-smartphone,Điện thoại
275746519,Laptop Gaming Acer Nitro V ANV15-51-55CA NH.QN8SV.004 (Intel Core i5-13420H | RTX 4050 6GB | 16GB | 512GB | 15.6 inch FHD | Win 11 | Đen) - HÀNG CHÍNH HÃNG,26129000,26129000,0,0,0,0.0,0.0,,,laptop-gaming,Laptop
275746576,Laptop Acer Aspire Lite AL16-51P-596H NX.KWZSV.002 (Intel Core i5-1235U | 8GB | 512GB | Intel HD | 16 inch WUXGA | Win 11 | Xám) - HÀNG CHÍNH HÃNG,12720000,12720000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
275746580,Laptop Gaming Acer Nitro 5 Tiger AN515-58-52SP NH.QFHSV.001 (Core i5-12500H | RTX 3050 4GB| 8GB | 512GB | 15.6 inch FHD | Win 11 | Đen) - HÀNG CHÍNH HÃNG,19990000,19990000,0,0,0,0.0,0.0,,,laptop-gaming,Laptop
275746589,Laptop Acer Gaming Nitro V ANV15-51-53DM NH.QN9SV.007 (Intel Core i5-13420H |RTX 3050| 16GB | 512GB | 15.6 inch FHD | Win 11 | Đen) - HÀNG CHÍNH HÃNG,23290000,23290000,0,0,0,0.0,0.0,,,laptop-gaming,Laptop
275761381,Điện thoại Samsung Galaxy S23 FE (8GB/256GB) - Hàng chính hãng,16790000,16890000,100000,1,0,0.0,1.0,Samsung,Hàn Quốc,dien-thoai-smartphone,Điện thoại
275764465,Laptop Dell Inspiron 15 3520 25P2312 (Intel Core i5-1235U | 16GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Win 11 | Office | Bạc) - Hàng Chính Hãng - Bảo Hành 12 Tháng,15090000,19990000,4900000,25,0,0.0,0.0,,,laptop-truyen-thong,Laptop
275773333,Điện thoại Xiaomi Redmi Note 13 Pro 8GB/256GB - Hàng Chính Hãng,7590500,7990000,399500,5,0,0.0,0.0,,,dien-thoai-smartphone,Điện thoại
275773410,Điện thoại vivo V30e 5G 8GB/256GB - Hàng Chính Hãng,9015500,9490000,474500,5,0,0.0,0.0,,,dien-thoai-smartphone,Điện thoại
275773424,Xiaomi Redmi Pad SE (4+128G) Tím - Hàng Chính Hãng,4265500,4490000,224500,5,0,0.0,0.0,,,may-tinh-bang,Máy tính bảng
275773439,Điện thoại Xiaomi Redmi A3 (3GB/64GB) - Hàng Chính Hãng,2365500,2490000,124500,5,0,0.0,0.0,,,dien-thoai-smartphone,Điện thoại
275773451,OPPO A60 128GB - Hàng Chính Hãng,5215500,5490000,274500,5,0,0.0,0.0,,,dien-thoai-smartphone,Điện thoại
275773463,Điện thoại HONOR X8b 512GB - Hàng Chính Hãng,7305500,7690000,384500,5,0,0.0,0.0,,,dien-thoai-smartphone,Điện thoại
275773562,Điện thoại vivo Y03 128GB - Hàng Chính Hãng,3125500,3290000,164500,5,0,0.0,0.0,,,dien-thoai-smartphone,Điện thoại
275773755,Điện thoại Xiaomi Redmi Note 13 Pro 5G - Hàng Chính Hãng,9015500,9490000,474500,5,1,5.0,2.0,Xiaomi,Trung Quốc,dien-thoai-smartphone,Điện thoại
275773774,Điện thoại Xiaomi Redmi Note 13 (8GB/256GB) - Hàng chính hãng - Hàng Chính Hãng,5690500,5990000,299500,5,0,0.0,0.0,,,dien-thoai-smartphone,Điện thoại
275773776,Điện thoại Xiaomi Redmi Note 13 Pro 8GB/256GB - Hàng Chính Hãng,7290000,7990000,700000,9,0,0.0,1.0,Xiaomi,Trung Quốc,dien-thoai-smartphone,Điện thoại
275773881,Điện thoại realme Note 50 64GB - Hàng Chính Hãng,2365500,2490000,124500,5,0,0.0,0.0,,,dien-thoai-smartphone,Điện thoại
275773905,Điện thoại HONOR X5 Plus - Hàng Chính Hãng,2365500,2490000,124500,5,0,0.0,0.0,,,dien-thoai-smartphone,Điện thoại
275774235,OPPO Reno12 5G 12G/512GB (Hồng) - Hàng Chính Hãng,13290500,13990000,699500,5,0,0.0,0.0,,,dien-thoai-smartphone,Điện thoại
275774237,OPPO Reno 12 5G 12G/512G - Hàng Chính Hãng,13890000,13990000,100000,1,0,0.0,0.0,,,dien-thoai-smartphone,Điện thoại
275774238,OPPO Reno 12 Pro 5G 12G/512G - Hàng Chính Hãng,18040500,18990000,949500,5,0,0.0,0.0,,,dien-thoai-smartphone,Điện thoại
275774241,OPPO Reno12 F 5G 8GB Xanh Lá - Hàng Chính Hãng,9015500,9490000,474500,5,0,0.0,0.0,,,dien-thoai-smartphone,Điện thoại
275774243,OPPO Reno12 F 5G 12GB/256GB - Hàng Chính Hãng,9490500,9990000,499500,5,1,5.0,1.0,OPPO,Trung Quốc,dien-thoai-smartphone,Điện thoại
275774445,Máy tính bảng OPPO Pad Air WiFi 4GB/64GB - Hàng Chính Hãng,5215500,5490000,274500,5,0,0.0,0.0,,,may-tinh-bang,Máy tính bảng
275774447,Máy tính bảng OPPO Pad Neo 4G 8GB/128GB - Hàng Chính Hãng,7590500,7990000,399500,5,0,0.0,1.0,OPPO,Trung Quốc,may-tinh-bang,Máy tính bảng
275774606,Máy tính bảng Xiaomi Redmi Pad SE WiFi 8GB/256GB - Hàng Chính Hãng,5500500,5790000,289500,5,0,0.0,0.0,,,may-tinh-bang,Máy tính bảng
275774627,Xiaomi Redmi 13 (6+128G) - Hàng Chính Hãng,4075500,4290000,214500,5,0,0.0,0.0,,,dien-thoai-smartphone,Điện thoại
